xAccl,yAccl,zAccl,newPosition,time,pcTime
1009,43,-105,0,346588
1007,45,-109,0,371503
1006,51,-106,0,396510
1012,46,-107,0,421518
1014,46,-106,0,446525
1006,46,-116,0,471532
1009,46,-111,0,496540
1011,44,-113,0,521547
1012,46,-110,0,546554
1009,45,-108,0,571562
1052,45,-108,0,596569
1071,53,-96,0,621576
975,11,-99,0,646584
1169,12,-51,0,671591
985,31,36,0,696599
908,13,123,0,721602
988,43,220,0,746606
1010,76,393,0,771609
927,41,502,0,796613
753,25,596,0,821617
602,138,776,0,846620
528,-41,695,0,871628
57,232,930,0,896635
1,117,877,0,921638
-245,221,892,0,946642
-428,211,772,0,971650
-742,207,688,0,996657
-812,260,431,0,1021664
-599,244,485,0,1046672
-958,229,363,0,1071679
-1011,218,245,0,1096686
-1010,190,152,0,1121694
-1066,217,126,0,1146701
-1094,201,92,0,1171709
-1070,250,116,0,1196712
-1085,214,101,0,1221712
-1029,236,168,0,1246716
-1066,214,174,0,1271723
-1072,177,268,0,1296730
-938,209,405,0,1321738
-780,232,503,0,1346745
-741,120,644,0,1371752
-786,189,719,0,1396760
-454,187,826,0,1421767
-543,228,930,0,1446774
477,128,927,0,1471782
-250,342,1103,0,1496788
361,33,831,0,1521789
645,90,808,0,1546793
1090,97,710,0,1571797
948,116,512,0,1596804
745,280,468,0,1621814
981,62,371,0,1646820
991,36,231,0,1671826
1088,31,202,0,1696829
1036,38,144,0,1721834
1059,41,127,0,1746838
1050,57,118,0,1771842
1072,53,146,0,1796846
922,77,356,0,1821850
1042,39,297,0,1846853
865,72,376,0,1871857
1179,116,484,0,1896860
877,91,536,0,1921864
730,9,616,0,1946868
759,48,749,0,1971871
590,102,828,0,1996875
252,65,892,0,2021882
262,92,839,0,2046886
-305,214,1004,0,2071889
-269,194,889,0,2096890
-605,244,827,0,2121897
-622,172,743,0,2146901
-772,177,573,0,2171908
-1214,276,494,0,2196912
-795,142,436,0,2221912
-953,211,335,0,2246921
-1158,234,308,0,2271926
-962,173,226,0,2296926
-1055,223,261,0,2321933
-1082,250,287,0,2346937
-1062,198,293,0,2371941
-864,294,503,0,2396945
-922,222,448,0,2421952
-850,205,525,0,2446956
-890,124,564,0,2471962
-710,142,694,0,2496970
-497,297,818,0,2521977
-430,154,865,0,2546981
-363,104,879,0,2571989
-240,409,1084,0,2596992
161,154,928,0,2622003
474,66,841,0,2647009
367,135,862,0,2672012
737,90,733,0,2697018
699,114,642,0,2722026
820,23,487,0,2747034
1016,13,435,0,2772044
912,57,342,0,2797051
1001,32,311,0,2822059
998,33,292,0,2847068
1026,34,281,0,2872070
1081,34,294,0,2897078
1021,24,329,0,2922081
1011,71,415,0,2947085
853,64,455,0,2972092
961,-7,519,0,2997096
876,31,544,0,3022100
667,67,697,0,3047103
578,73,779,0,3072107
486,135,879,0,3097111
178,112,933,0,3122117
186,132,919,0,3147121
-331,249,934,0,3172125
-575,79,905,0,3197129
-378,106,817,0,3222136
-677,247,797,0,3247140
-764,224,697,0,3272147
-947,272,598,0,3297155
-1012,174,484,0,3322158
-936,252,468,0,3347162
-965,196,381,0,3372169
-967,240,410,0,3397173
-1042,234,406,0,3422180
-831,123,355,0,3447184
-941,200,398,0,3472188
-945,224,483,0,3497195
-887,201,536,0,3522199
-771,225,609,0,3547203
-695,175,672,0,3572209
-652,159,759,0,3597213
-391,161,865,0,3622217
-328,151,899,0,3647224
-572,294,1027,0,3672231
194,123,1004,0,3697239
269,127,915,0,3722243
469,94,874,0,3747247
391,108,843,0,3772250
619,66,750,0,3797256
680,55,692,0,3822259
778,68,622,0,3847263
897,4,518,0,3872267
941,42,452,0,3897272
930,27,415,0,3922277
976,34,418,0,3947278
981,27,409,0,3972281
961,70,467,0,3997287
944,37,465,0,4022290
914,40,510,0,4047294
850,71,565,0,4072301
759,37,619,0,4097305
663,67,763,0,4122312
658,93,790,0,4147319
456,62,871,0,4172327
272,64,903,0,4197334
50,138,971,0,4222337
-136,170,956,0,4247342
-280,218,966,0,4272349
-374,181,890,0,4297356
-533,172,812,0,4322364
-661,193,765,0,4347372
-762,177,676,0,4372378
-783,207,619,0,4397378
-876,232,581,0,4422386
-1031,224,455,0,4447393
-910,212,495,0,4472400
-924,221,499,0,4497408
-899,242,507,0,4522415
-920,204,506,0,4547423
-898,209,570,0,4572426
-818,208,607,0,4597433
-733,197,654,0,4622441
-666,279,759,0,4647448
-521,235,849,0,4672451
-449,123,865,0,4697451
-296,201,959,0,4722459
328,153,1000,0,4747467
103,225,1038,0,4772474
164,145,956,0,4797481
322,104,880,0,4822488
630,81,854,0,4847495
545,77,777,0,4872503
630,37,765,0,4897510
845,24,647,0,4922510
871,63,613,0,4947517
838,26,529,0,4972521
888,34,513,0,4997525
911,31,509,0,5022529
860,19,497,0,5047533
903,38,550,0,5072540
873,42,569,0,5097547
824,46,625,0,5122551
757,62,690,0,5147558
687,57,734,0,5172562
559,114,831,0,5197565
450,72,862,0,5222569
248,61,901,0,5247576
97,139,961,0,5272576
-44,159,977,0,5297583
-131,100,926,0,5322591
-614,273,957,0,5347598
-410,223,904,0,5372606
-607,259,850,0,5397613
-614,170,765,0,5422620
-776,219,694,0,5447628
-784,266,699,0,5472635
-882,210,614,0,5497643
-822,236,598,0,5522646
-903,224,585,0,5547653
-869,202,574,0,5572661
-844,206,600,0,5597668
-828,212,640,0,5622671
-821,191,683,0,5647671
-649,176,710,0,5672679
-568,227,785,0,5697687
-417,197,841,0,5722690
-365,175,877,0,5747697
-306,136,937,0,5772705
