time_sec,theta_kalman,theta_dot_kalman,theta_ddot_kalman,x_pivot_m
0.346576,1.6326354117239372,0.05417425603976161,-0.425450272190129,-0.0
0.371498,1.6357755028092713,0.03078468944982915,-0.5096130151118227,-0.0
0.396502,1.6324716474925802,0.034626586379582644,-0.5940932729927331,-0.0
0.421509,1.6340099406034554,0.02992269414417465,-0.6807979681387507,-0.0
0.446513,1.6336924839717335,0.0294424145925236,-0.7697233113922162,-0.0
0.47152,1.631566481294629,0.04638710303931454,-0.8630375000809143,-0.0
0.496524,1.6346921818427034,0.04424097647158161,-0.9609809519708888,-0.0
0.521532,1.6357666862107774,0.037630829864653784,-1.0619900210988615,-0.0
0.546535,1.6358580069158888,0.032374926353807724,-1.166219651405275,-0.0
0.571542,1.6342096090909068,0.040203798561847644,-1.2752992570745174,-0.0
0.59655,1.635273610033036,0.04187807009259606,-1.3902497368888675,-0.0
0.621557,1.6360522698725164,0.039434288801425965,-1.510681712626213,-0.0
0.646561,1.636178413983165,0.036886750646603565,-1.636733313830745,-0.0
0.671564,1.6385913335706466,0.016184233679233107,-1.76739682762563,-0.0
0.696568,1.6353295776862398,0.015560277466534524,-1.9033665285057793,-0.0
0.721576,1.6345432410074439,0.01589461470677062,-2.0469490005074316,-0.0
0.746583,1.6314447214999759,0.03405325611734812,-2.2002899798018825,-0.0
0.771589,1.63037872202903,0.057600414283432474,-2.3659402737852235,-0.0
0.79659,1.6323514021302066,0.06747574300448736,-2.543873731708759,-0.0
0.821597,1.6352079130116954,0.05818111436859625,-2.7320702370999217,-0.0
0.846597,1.6376233385449166,0.03058547308221165,-2.9281710805758223,-0.0
0.871604,1.6401991413541628,-0.02233637136863957,-3.1293426823153867,-0.0
0.896612,1.6420716930794308,-0.10582005069363773,-3.3317574254850153,-0.0
0.921619,1.641209656569701,-0.21550639828609178,-3.5315278406532,-0.0
0.946623,1.6432416226612863,-0.39402452188121306,-3.721576578786617,-0.0
0.97163,1.6463466798058985,-0.683044732153705,-3.8877804523632697,-0.0
0.996638,1.643328626210427,-1.0905850052045107,-4.011808602192983,-0.0
1.021645,1.632384311305006,-1.632784304966709,-4.073181124296739,-0.0
1.046649,1.6066605195658337,-2.2989734892388127,-4.050744512461988,-0.0
1.071657,1.5637418680661133,-3.0828721091253213,-3.9244520386368396,-0.0
1.09666,1.4966522039147137,-3.947211002344811,-3.677493178438452,-0.0
1.121664,1.4046705696609665,-4.863677125127516,-3.298051715549217,-0.0
1.146667,1.2889856062967295,-5.82202142452828,-2.7769960604128383,-0.0
1.171674,1.1288083768393404,-6.663467231023352,-2.118700147304758,-0.0
1.196678,0.9481965121758358,-7.387445797707189,-1.3402273998302352,-0.0
1.221682,0.7392847837947899,-7.912590247286596,-0.46492895904638765,-0.0
1.246685,0.606230180512453,-8.901299768692446,0.53268149905551,-0.0
1.271693,0.364673063397837,-9.720104838922389,1.6809553509975768,-0.0
1.296697,-0.03512366326731514,-9.32989084118178,2.8695259088090346,-0.0
1.321704,-0.34631564289027006,-8.31788450273772,3.9507923911569094,-0.0
1.346708,-0.4878463332056783,-7.7663307527461445,4.916041395295643,-0.0
1.371711,-0.6812964587491702,-7.183469049793719,5.805268035654617,-0.0
1.396715,-0.9132736934918733,-6.171228560043645,6.5839663700158315,-0.0
1.421722,-1.0289140183687369,-5.4129413002302815,7.240997731202587,-0.0
1.446726,-1.1453833817082109,-4.761913596758173,7.809429428948516,-0.0
1.471733,-1.3119657853656195,-3.721541007960761,8.268320079732668,-0.0
1.496737,-1.4353672244271964,-2.4223198187154322,8.56582808261481,-0.0
1.521744,-1.4485014009000865,-1.4507522383002471,8.709256897677156,-0.0
1.546751,-1.4657736338012193,-0.5974200997572172,8.73665569798337,-0.0
1.571755,-1.4760720891975712,0.24235401105226506,8.659355106347395,-0.0
1.596759,-1.4693568155179546,1.0954993112337044,8.477266863046768,-0.0
1.621762,-1.432459388280928,1.8925062311399508,8.193412796150275,-0.0
1.646767,-1.3908036345747317,2.743738555749407,7.806982834456672,-0.0
1.671773,-1.2984068995053704,3.424820872227226,7.326236204252406,-0.0
1.696777,-1.2171751855587782,4.143479455278118,6.760408976284238,-0.0
1.721785,-1.127678095042508,4.968880592654805,6.095305509461661,-0.0
1.746792,-0.9618340237653227,5.479330158343786,5.345703694410187,-0.0
1.771802,-0.8533819636073592,6.1966848713874025,4.517657953526729,-0.0
1.796802,-0.7019872277443332,6.9295188248031945,3.589366784491917,-0.0
1.821808,-0.49984248481989346,7.430010702430577,2.575235644089295,-0.0
1.846814,-0.31635520852075294,7.927191573153134,1.4908476203031213,-0.0
1.871822,-0.17596915482941838,8.832899391536644,0.2980920909711884,-0.0
1.896823,0.19964186065708248,8.548251660804283,-0.9426609634889793,-0.0
1.921826,0.4404915909233652,8.025862608245433,-2.1175482909094967,-0.0
1.94683,0.6637901079163612,7.298360169015908,-3.1947164106360937,-0.0
1.971837,0.8667634636502052,6.381781115400599,-4.146024107711259,-0.0
1.996838,1.0240037126943882,5.448184909318652,-4.958528904503087,-0.0
2.021841,1.1464063088932903,4.585433075128325,-5.640382859753371,-0.0
2.046848,1.260953290920216,3.6925282147264173,-6.198083541565682,-0.0
2.071852,1.37569366374066,2.602629136348833,-6.6152939028855595,-0.0
2.096852,1.412026994766603,1.7018429377723354,-6.893385884941847,-0.0
2.121855,1.445080429976978,0.8489122628919312,-7.053539800293311,-0.0
2.146859,1.4602599131587264,0.02066701833653095,-7.102708318108754,-0.0
2.17186,1.4639605481035243,-0.8492850916329147,-7.039909450448167,-0.0
