time_sec,theta_kalman,theta_dot_kalman,theta_ddot_kalman,x_pivot_m
0.34657,-0.03197796263428205,0.009395303317501973,-0.023523055645002143,-0.0
0.371489,-0.031567987781052985,0.007718652807956947,-0.028160312163558007,-0.0
0.396492,-0.0313653337922658,0.005795096622738982,-0.03260462244621836,-0.0
0.421496,-0.03120540625397069,0.003575733718025524,-0.036829628306541795,-0.0
0.446499,-0.03179381553976851,0.006286683395590709,-0.0412426345132603,-0.0
0.471504,-0.03148974037454805,0.007686557698214405,-0.04616566616639568,-0.0
0.496507,-0.03094738147719419,0.006217020356095466,-0.051267577233978505,-0.0
0.521511,-0.030208687234261768,9.874546336905918e-05,-0.05593854099227194,-0.0
0.546514,-0.030634568314859986,-0.003035258554363613,-0.06005950918560082,-0.0
0.571518,-0.032367409082051074,0.006095504585687146,-0.06492894444912962,-0.0
0.596521,-0.03104522770653303,0.006119966348680967,-0.07083094315790792,-0.0
0.621525,-0.031241450764894405,0.008472489407653853,-0.07721935824208873,-0.0
0.646529,-0.031057095370765397,0.01069814311460727,-0.08430491433917922,-0.0
0.671533,-0.030439719563831416,0.009914750267074227,-0.09185288334002822,-0.0
0.696536,-0.029863073040239246,0.00625125285862408,-0.09939990321510836,-0.0
0.72154,-0.029925878838716804,0.003823137239536093,-0.10683983046765734,-0.0
0.746544,-0.029432585891182597,-0.002047254550666301,-0.11401910909034357,-0.0
0.771547,-0.02920371024698576,-0.010489744639564688,-0.1204638365473255,-0.0
0.796551,-0.030978184663133526,-0.007973999150574044,-0.12690667058110255,-0.0
0.821555,-0.0314130907500464,-0.004155831089325886,-0.1344039087716259,-0.0
0.846558,-0.03166688119871096,0.0002783607917208261,-0.14314603070568463,-0.0
0.871562,-0.030792385742165012,-0.0024032386256484326,-0.152621817840463,-0.0
0.896566,-0.029344480607508404,-0.017083310572008473,-0.1612654733528466,-0.0
0.921569,-0.028205606484175198,-0.04421942044780859,-0.16706277483405646,-0.0
0.946573,-0.02851448288713347,-0.0779790348260353,-0.16844285758677208,-0.0
0.971577,-0.03156460569003781,-0.10396839273164969,-0.16551713927025974,-0.0
0.99658,-0.04090294865152051,-0.07951488840812745,-0.16316829586773784,-0.0
1.021584,-0.03566613676969354,-0.11007522652945356,-0.16100152882746496,-0.0
1.046588,-0.029113371552787513,-0.21140204099304533,-0.14845030340286325,-0.0
1.071591,-0.027138009590365008,-0.36789937684166435,-0.11491337303115604,-0.0
1.096595,-0.02536018288501164,-0.6072327134604647,-0.04871017516413002,-0.0
1.121599,-0.023670754454535415,-0.973275307979906,0.06795762740988551,-0.0
1.146602,-0.024161072722027978,-1.517634183963026,0.26107790776499856,-0.0
1.171606,-0.027964396708208883,-2.316434823564511,0.5676276046488693,-0.0
1.196609,-0.04441172524850484,-3.4225105318748374,1.0358087148767492,-0.0
1.221613,-0.10335401052807641,-4.720048219841308,1.709118523330318,-0.0
1.246617,-0.2674375088229777,-5.6548428994640725,2.5755934700887084,-0.0
1.454034,-0.6860848929684509,-4.474812525330932,3.430540494763342,0.154396
1.479041,-1.2076468096479993,-0.1763501921805677,3.838359966102793,0.17226
1.504043,-1.0713615937585008,3.07854790276407,3.627572818909087,0.181192
1.529052,-0.7110157025556255,4.20036696283057,3.0652174251773125,0.182468
1.55406,-0.4950417083947761,4.482849799782396,2.399140552929941,0.182468
1.579063,-0.3642840754040751,4.619233032857809,1.7094556492388442,0.182468
1.60407,-0.21969866956025472,4.528757951069501,1.0246005810133347,0.182468
1.629078,-0.09281062586345551,4.326381233419648,0.3701032265546971,0.182468
1.654085,0.0363335201827669,3.95576489609461,-0.2333541547346325,0.182468
1.679086,0.14441441181717907,3.505365753437017,-0.767613076888896,0.182468
1.704089,0.2181976302721116,3.1490597616567086,-1.2362790548798444,0.182468
1.729092,0.28687000641373706,2.858212244813264,-1.6548631277861379,0.182468
1.7541,0.35328659631061965,2.5948015836600287,-2.0330372755118615,0.182468
1.779107,0.41530463724180894,2.3420641469211647,-2.3756840002258786,0.182468
1.804111,0.48046294622811464,2.0282812168758735,-2.680098821120417,0.182468
1.829114,0.5111647722233282,1.8542839402345042,-2.9542580385862607,0.182468
1.854122,0.5912686982044293,1.4139052646414452,-3.1887589636047196,0.182468
1.879129,0.628471203889659,0.9478927338047092,-3.3601671656094623,0.182468
1.904132,0.6590936690559532,0.41849210411905635,-3.4618686929881237,0.182468
1.929136,0.6961387760958293,-0.3219947372031742,-3.4714035554023788,0.182468
1.954144,0.771594661604528,-1.7022635184842354,-3.3175917856522084,0.182468
1.979152,0.6380864116193183,-2.4018753232284937,-3.0035591956439345,0.182468
