time_sec,theta_kalman,theta_dot_kalman,x_pivot_m
0.346573,-0.029546823269292193,-0.0034968661058613266,-0.0
0.371491,-0.03026658558857725,-0.0034879878471104605,-0.0
0.396491,-0.029802767168110596,-0.003492959486432925,-0.0
0.421498,-0.02995648265399832,-0.0034962738258758645,-0.0
0.446506,-0.030566614728392057,-0.0034864693365627805,-0.0
0.47151,-0.03131166578625044,-0.003460151131166178,-0.0
0.496517,-0.03218542585015556,-0.0034140698781499118,-0.0
0.52152,-0.03279711443884832,-0.0033547788443608825,-0.0
0.546525,-0.03343893665148617,-0.003281483773207538,-0.0
0.571527,-0.032873364047034365,-0.0032244640448526457,-0.0
0.596532,-0.031804116326606374,-0.003196334280715786,-0.0
0.621535,-0.0307710286043904,-0.0031961685201897963,-0.0
0.646542,-0.0303740716528048,-0.0032079892349694324,-0.0
0.67155,-0.03036060935368773,-0.0032221718113502953,-0.0
0.69655,-0.030484099168820066,-0.00323528542878292,-0.0
0.721557,-0.030627466188056486,-0.003246839112679478,-0.0
0.746565,-0.031015044727765017,-0.003250706395570603,-0.0
0.771568,-0.031307371112516635,-0.003249282124624791,-0.0
0.796572,-0.030994282295136084,-0.003257771355328004,-0.0
0.821572,-0.031165507808534974,-0.00326401512771559,-0.0
0.846579,-0.03165255663544242,-0.003260084981910027,-0.0
0.871586,-0.03217165984425609,-0.003245173342447137,-0.0
0.896594,-0.03244024111936813,-0.0032255630543990155,-0.0
0.921597,-0.032923417986408306,-0.0031958518413247043,-0.0
0.946601,-0.033067947551527845,-0.0031645266191791107,-0.0
0.971604,-0.033369650443156686,-0.0031276199716598818,-0.0
0.996612,-0.03386266325276627,-0.0030803035673391322,-0.0
1.021612,-0.03420443563168894,-0.0030263461980671175,-0.0
1.04662,-0.03507460761778172,-0.002952442238952731,-0.0
1.07162,-0.03706436550176841,-0.002830424909444472,-0.0
1.096623,-0.039786192512123564,-0.0026418301695978717,-0.0
1.121623,-0.041178891129785934,-0.002419922193693677,-0.0
1.146631,-0.04108474019541612,-0.0022019055553336546,-0.0
1.171638,-0.04168778506518424,-0.0019701315524411674,-0.0
1.196638,-0.04481147130834352,-0.0016611441039068187,-0.0
1.221645,-0.051078596836527615,-0.001195795871090202,-0.0
1.246649,-0.061863893595711344,-0.00046031232369867555,-0.0
1.271652,-0.07766388529487062,0.0006717224543463954,-0.0
1.29666,-0.10403522968607168,0.002466538729922174,-0.0
1.321667,-0.14621529254837562,0.005322329550431737,-0.0
1.346673,-0.21050400494019508,0.009796189937158898,-0.0
1.447036,-0.3120402236344033,0.016826471830539272,0.053592
1.472044,-0.41788008499321067,0.026525702975700116,0.067628
1.497053,-0.37520405565150733,0.03516979212650617,0.071456
1.522057,-0.3166065307428763,0.04236429896309235,0.071456
1.547062,-0.2540036878297899,0.04801316222909735,0.071456
1.572066,-0.18780505298351624,0.052029631501746415,0.071456
1.597067,-0.15189243583997697,0.05517692145643141,0.071456
1.622073,-0.11340495451974622,0.05739234577710112,0.071456
1.647074,-0.0870208657024599,0.05898129776527063,0.071456
1.67208,-0.06350212119111626,0.060016747422837455,0.071456
1.697088,-0.03135559348408437,0.06028264762491822,0.071456
1.722095,0.029793794858913605,0.059050713700977725,0.071456
1.747099,0.08618739997661339,0.056439617462744784,0.071456
1.772103,0.1319408561716557,0.05271495577771815,0.071456
1.797106,0.17096439387742499,0.04804341144864113,0.071456
1.822113,0.1992418258526777,0.04269194279721972,0.071456
1.847113,0.22460346764409067,0.036730408542991644,0.071456
1.872117,0.24004330870837406,0.030404249512417436,0.071456
1.897121,0.24944200269231237,0.023861207798004547,0.071456
1.922128,0.25182196703965937,0.017273442195314515,0.071456
1.947135,0.2444680277003153,0.010881279148303113,0.071456
1.972139,0.23513495438657236,0.004730395270333199,0.071456
1.997143,0.21685244795812816,-0.000958310602141188,0.071456
2.022143,0.1978315048829777,-0.006169880147983364,0.071456
2.04715,0.17126258703707709,-0.010718021799827004,0.071456
2.072157,0.13959525631765407,-0.014477550067612754,0.071456
2.097165,0.10597267499961265,-0.017401727429514846,0.071456
2.122169,0.06964038421778042,-0.019424339969413146,0.071456
2.147173,0.035649491722396474,-0.02060547153310037,0.071456
2.172176,0.008171781104858375,-0.021109456023939585,0.071456
2.19718,-0.03173989945853803,-0.02062431268624907,0.071456
2.222187,-0.06443374769346472,-0.019331022670111504,0.071456
2.247194,-0.088255115879526,-0.01745161638975907,0.071456
2.272198,-0.12198388626870874,-0.01473606826454256,0.071456
2.297205,-0.14479101226716323,-0.011456979470249568,0.071456
2.322209,-0.15561576501303054,-0.007913237549351915,0.071456
2.347212,-0.18093514952618808,-0.0037385515105845812,0.071456
2.372223,-0.19815994932203143,0.0008664040012778818,0.071456
2.397227,-0.21056157547778057,0.005783392402532672,0.071456
2.422228,-0.21201093531032394,0.010740432160752128,0.071456
2.447231,-0.20814722513059378,0.015607204284745435,0.071456
2.472235,-0.19976163097655433,0.020273204719078786,0.071456
2.497238,-0.1835492301108698,0.024544794426125754,0.071456
2.522243,-0.16383741315387226,0.028336774771592244,0.071456
2.547248,-0.1361498822987359,0.03145121531120623,0.071456
2.572251,-0.10018455725670786,0.0336821709589783,0.071456
2.597257,-0.07524395697158273,0.03530795237909025,0.071456
2.622263,-0.04576270296332871,0.03621553953085163,0.071456
2.647271,-0.014212557325420039,0.036353541494750126,0.071456
2.672271,0.020073313252873932,0.03565333329823484,0.071456
2.697275,0.053334322625883,0.03414021421980719,0.071456
2.722278,0.08775328313634194,0.03178414595809606,0.071456
