xAccl,yAccl,zAccl,newPosition,time,pcTime
-317,-10,997,0,10346811,10441.384315490723
-317,-10,997,0,10371817,10466.483354568481
-317,-10,997,0,10396822,10491.329193115234
-317,-10,997,0,10421823,10516.468286514282
-317,-10,997,0,10446829,10541.452169418335
-317,-10,997,0,10471836,10566.564083099365
-317,-10,997,0,10496844,10591.289043426514
-317,-10,997,0,10521851,10616.36209487915
-317,-10,997,0,10546858,10641.345024108887
-317,-10,997,0,10571863,10666.27311706543
-317,-10,997,0,10596870,10691.306114196777
-317,-10,997,0,10621877,10716.326236724854
-317,-10,997,0,10646884,10741.384267807007
-317,-10,997,0,10671892,10766.270160675049
-317,-10,997,0,10696899,10791.344165802002
-317,-10,997,0,10721899,10816.357135772705
-317,-10,997,0,10746903,10841.230154037476
-317,-10,997,0,10771912,10866.320133209229
-317,-10,997,0,10796917,10891.2513256073
-317,-10,997,0,10821924,10916.335105895996
-317,-10,997,0,10846929,10941.313028335571
-317,-10,997,0,10871933,10966.346979141235
-317,-10,997,0,10896939,10991.410255432129
-317,-10,997,0,10921947,11016.379117965698
-317,-10,997,0,10946951,11041.202306747437
-317,-10,997,0,10971958,11066.322326660156
-317,-10,997,0,10996962,11091.25304222107
-317,-10,997,0,11021969,11116.305112838745
-317,-10,997,0,11046976,11141.232252120972
-317,-10,997,0,11071983,11166.176080703735
-317,-10,997,0,11096987,11191.217184066772
-317,-10,997,0,11121999,11216.231107711792
-317,-10,997,0,11147000,11241.271018981934
-317,-10,997,0,11172003,11266.258239746094
-317,-10,997,0,11197006,11291.407108306885
-317,-10,997,0,11222010,11316.29204750061
-317,-10,997,0,11247017,11341.44115447998
-317,-10,997,0,11272021,11366.446018218994
-317,-10,997,0,11297025,11391.39199256897
-317,-10,997,0,11322030,11416.444301605225
-317,-10,997,0,11347030,11441.432237625122
-317,-10,997,0,11372035,11466.499090194702
-317,-10,997,0,11397037,11491.411209106445
-317,-10,997,0,11422043,11516.430139541626
-317,-10,997,0,11447042,11541.513204574585
-317,-10,997,0,11472048,11566.351175308228
-317,-10,997,0,11497051,11591.486930847168
-317,-10,997,0,11522059,11616.318225860596
-317,-10,997,0,11547063,11641.486167907715
-317,-10,997,0,11572069,11666.473388671875
-317,-10,997,0,11597070,11691.453218460083
-317,-10,997,0,11622072,11716.381311416626
-317,-10,997,0,11647076,11741.337060928345
-317,-10,997,0,11672080,11766.233205795288
-317,-10,997,0,11697087,11791.451215744019
-317,-10,997,0,11722087,11816.340208053589
-317,-10,997,0,11747091,11841.32194519043
-317,-10,997,0,11772094,11866.544246673584
-317,-10,997,0,11797098,11891.290187835693
-317,-10,997,0,11822102,11916.324138641357
-317,-10,997,0,11847105,11941.416263580322
-317,-10,997,0,11872113,11966.374158859253
-317,-10,997,0,11897120,11991.522073745728
-317,-10,997,0,11922120,12016.447067260742
-317,-10,997,0,11947127,12041.513204574585
-317,-10,997,0,11972128,12066.3480758667
-317,-10,997,0,11997134,12091.434001922607
-317,-10,997,0,12022138,12116.428136825562
-317,-10,997,0,12047142,12141.409158706665
-317,-10,997,0,12072149,12166.325092315674
-317,-10,997,0,12097153,12191.404104232788
-317,-10,997,0,12122160,12216.37511253357
-317,-10,997,0,12147165,12241.4231300354
-317,-10,997,0,12172172,12266.404151916504
-317,-10,997,0,12197175,12291.383028030396
-317,-10,997,0,12222183,12316.403150558472
-317,-10,997,0,12247186,12341.432094573975
-317,-10,997,0,12272194,12366.358995437622
-317,-10,997,0,12297197,12391.45016670227
-317,-10,997,0,12322200,12416.512966156006
-317,-10,997,0,12347204,12441.53118133545
-317,-10,997,0,12372212,12466.418266296387
-317,-10,997,0,12397215,12491.538286209106
-317,-10,997,0,12422218,12517.275094985962
-317,-10,997,0,12447223,12541.497230529785
