time,theta,x_pivot,time_seconds,filtered_theta
802,-1181,0.0,0.802,-1166.4733840804188
810,-1181,0.0,0.81,-1175.4513264602354
819,-1120,0.0,0.819,-1141.1805219865435
827,-1120,0.0,0.827,-1128.0902394993952
836,-1120,0.0,0.836,-1123.090196511642
845,-482,0.0,0.845,-726.8746652130981
854,-482,0.0,0.854,-575.533799127652
862,-482,0.0,0.862,-517.7267321698578
869,-1030,0.0,0.869,-834.3290232168638
877,-1030,0.0,0.877,-955.2603374807335
884,-1030,0.0,0.884,-1001.4519892253368
891,-1030,0.0,0.891,-1019.0956301952768
899,-815,0.0,0.899,-892.9575937792664
907,-815,0.0,0.907,-844.7771511425224
915,-815,0.0,0.915,-826.3738596483008
924,-704,0.0,0.924,-750.7426550511417
931,-704,0.0,0.931,-721.8541055051242
940,-704,0.0,0.94,-710.8196614642308
950,-454,0.0,0.95,-552.0963817000945
958,-454,0.0,0.958,-491.4694836360529
965,-454,0.0,0.965,-468.3120692080642
974,-90,0.0,0.974,-234.50235208317804
984,-90,0.0,0.984,-145.19498704146986
991,-90,0.0,0.991,-111.08260904123148
1000,253,0.0,1.0,113.93281805898931
1008,253,0.0,1.008,199.88106321819947
1016,253,0.0,1.016,232.71037159560916
1024,253,0.0,1.024,245.25005156862798
1033,10,0.0,1.033,99.85752384405038
1040,10,0.0,1.04,44.32251996352314
1047,10,0.0,1.047,23.110036046519042
1058,651,0.0,1.058,411.1673749647165
1064,651,0.0,1.064,559.3920888476307
1073,651,0.0,1.073,616.0088915781755
1082,598,0.0,1.082,604.8787844831513
1089,598,0.0,1.089,600.6274618712785
1096,598,0.0,1.096,599.0036011306839
1105,652,0.0,1.105,631.7571769132678
1111,652,0.0,1.111,644.2679296091194
1119,652,0.0,1.119,649.0466119140902
1127,652,0.0,1.127,650.8719061331515
1137,95,0.0,1.137,307.3241747516728
1144,95,0.0,1.144,176.10061812186675
1151,95,0.0,1.151,125.97767961392745
1159,1101,0.0,1.159,728.5746134023098
1168,1101,0.0,1.168,958.7461605930018
1175,1101,0.0,1.175,1046.663868376696
1185,1062,0.0,1.185,1056.14211897584
1193,1062,0.0,1.193,1059.762488550824
1201,1062,0.0,1.201,1061.1453466766318
1209,1083,0.0,1.209,1074.652265242819
1217,1083,0.0,1.217,1079.8114490518258
1225,1083,0.0,1.225,1081.7820819126582
1234,1099,0.0,1.234,1092.423340506147
1241,1099,0.0,1.241,1096.487939605783
1250,1099,0.0,1.25,1098.0404783112015
1258,1099,0.0,1.258,1098.6334953278217
1265,44,0.0,1.265,446.8341495411245
1273,44,0.0,1.273,197.8689532955517
1280,44,0.0,1.28,102.77271034553061
1288,1093,0.0,1.288,714.7668319396797
1297,1093,0.0,1.297,948.5277854735087
1306,1093,0.0,1.306,1037.8165244808465
1316,1059,0.0,1.316,1050.9086323515346
1322,1059,0.0,1.322,1055.9093725737575
1329,1059,0.0,1.329,1057.819485369738
1337,1024,0.0,1.337,1036.91789392921
1346,1024,0.0,1.346,1028.9341964178923
1355,1024,0.0,1.355,1025.884695324467
1361,1024,0.0,1.361,1024.7198895555084
1369,18,0.0,1.369,402.532780659664
1376,18,0.0,1.376,164.87845242348345
1385,18,0.0,1.385,74.10257661078633
1394,1091,0.0,1.394,702.5797473375126
1402,1091,0.0,1.402,942.6366654017517
1410,1091,0.0,1.41,1034.3302488677423
1417,1109,0.0,1.417,1080.4786929989734
1424,1109,0.0,1.424,1098.1058301291782
1430,1109,0.0,1.43,1104.838797388561
1439,1109,0.0,1.439,1107.410562036505
1446,965,0.0,1.446,1019.3959943409695
1453,965,0.0,1.453,985.7774209864034
1460,965,0.0,1.46,972.9362686182408
1468,395,0.0,1.468,615.7520112808788
1476,395,0.0,1.476,479.3197652243955
1485,395,0.0,1.485,427.20728439230766
1493,578,0.0,1.493,520.4023078937582
1500,578,0.0,1.5,555.9996392889672
1507,578,0.0,1.507,569.5966099731432
1513,578,0.0,1.513,574.7901906304626
1521,443,0.0,1.521,493.33937343700876
1527,443,0.0,1.527,462.22792968056376
1535,443,0.0,1.535,450.34441560468247
1542,443,0.0,1.542,445.8053171334836
1551,435,0.0,1.551,439.12726388576914
