xAccl,yAccl,zAccl,newPosition,time,pcTime
-6,10,1020,0,346576
-7,11,1016,0,371497
-6,7,1016,0,396505
-9,9,1024,0,421513
-8,3,1023,0,446520
-7,14,1016,0,471520
-13,7,1016,0,496527
-6,6,1024,0,521535
-3,7,1016,0,546542
-9,3,1023,0,571542
-4,8,1016,0,596549
-4,6,1020,0,621557
-7,8,1023,0,646564
-3,7,1023,0,671564
-6,8,1010,0,696571
-7,8,1019,0,721579
-7,6,1021,0,746586
-2,8,1017,0,771586
-4,11,1019,0,796593
-1,8,1019,0,821601
-6,7,1012,0,846608
-5,11,1017,0,871608
-7,11,1016,0,896615
-2,9,1018,0,921623
-3,5,1018,0,946630
-5,10,1014,0,971630
-7,12,1017,0,996637
-6,7,1015,0,1021645
-4,8,1014,0,1046652
-1,11,1019,0,1071652
-5,3,1014,0,1096659
-9,10,1018,0,1121667
-10,11,1019,0,1146674
-5,12,1011,0,1171674
0,8,1008,0,1196681
-2,6,1013,0,1221689
-5,12,1024,0,1246696
-7,11,1014,0,1271697
-4,15,1020,0,1296704
-5,8,1022,0,1321711
-3,2,1009,0,1346718
-3,19,1018,0,1371718
-4,7,1013,0,1396725
-7,1,1013,0,1421733
-8,7,1018,0,1446740
-5,16,1017,0,1471740
-3,9,1021,0,1496747
-4,10,1015,0,1521755
-7,8,1012,0,1546762
0,11,1018,0,1571762
-3,5,1011,0,1596766
-3,10,1018,0,1621773
-2,10,1015,0,1646781
