xAccl,yAccl,zAccl,encoder
313,-32,984,0,
214,-64,941,0,
-17,17,992,0,
-171,74,1016,0,
-51,-41,934,0,
-107,-80,904,0,
-432,31,905,0,
-539,55,877,0,
-596,67,842,0,
-650,74,809,0,
-770,102,803,0,
-721,79,764,0,
-726,82,762,0,
-736,84,767,0,
-706,87,790,0,
-678,71,800,0,
-591,62,832,0,
-600,35,820,0,
-474,38,892,0,
-253,48,958,0,
-312,28,960,0,
-176,57,1005,0,
60,-6,1012,0,
120,-62,965,0,
232,-26,967,0,
289,-50,941,0,
483,-38,907,0,
470,-51,868,0,
552,-57,838,0,
666,-76,791,0,
683,-69,771,0,
683,-77,767,0,
689,-75,758,0,
693,-77,761,0,
671,-94,779,0,
601,-65,813,0,
539,-63,847,0,
531,-62,874,0,
452,-47,905,0,
421,-62,918,0,
175,-21,958,0,
26,15,1043,0,
-3,-27,972,0,
-133,25,986,0,
-253,-6,957,0,
-362,41,931,0,
-448,34,920,0,
-580,56,886,0,
-606,50,847,0,
-627,63,828,0,
-665,70,816,0,
-675,72,799,0,
-665,89,817,0,
-646,65,797,0,
-650,63,815,0,
-599,64,850,0,
-464,84,916,0,
-433,45,914,0,
-309,21,944,0,
-202,-6,953,0,
-272,-16,988,0,
-30,16,998,0,
60,-22,979,0,
178,-38,983,0,
292,-40,964,0,
270,-123,830,0,
452,-50,891,0,
559,-67,868,0,
561,-68,850,0,
593,-68,817,0,
626,-75,798,0,
629,-69,805,0,
620,-67,797,0,
607,-78,807,0,
571,-63,835,0,
530,-74,863,0,
437,-55,899,0,
347,-36,928,0,
375,-50,946,0,
207,-33,963,0,
53,-7,1020,0,
99,-17,937,0,
-69,-40,974,0,
-224,10,986,0,
-429,59,969,0,
-410,31,933,0,
-473,43,911,0,
-507,52,889,0,
-570,58,863,0,
-610,69,842,0,
-618,66,840,0,
-604,59,839,0,
-611,65,833,0,
-570,60,863,0,
-531,60,892,0,
-494,8,896,0,
-403,61,923,0,
-377,25,951,0,
-386,33,972,0,
-235,21,1001,0,
-83,-12,983,0,
50,-16,1003,0,
118,-49,943,0,
236,-18,972,0,
447,20,1008,0,
363,-53,913,0,
464,-54,904,0,
557,-61,876,0,
538,-64,853,0,
568,-65,844,0,
579,-64,843,0,
500,-4,876,0,
580,-87,833,0,
526,-65,875,0,
477,-61,895,0,
454,-65,897,0,
348,-53,938,0,
297,-6,960,0,
285,-79,973,0,
40,6,1025,0,
-28,-8,975,0,
-116,-7,999,0,
-186,35,979,0,
-326,12,974,0,
-372,14,944,0,
-427,61,934,0,
-479,37,905,0,
-512,47,888,0,
-563,56,879,0,
-571,56,876,0,
-559,64,887,0,
-503,51,877,0,
-566,54,880,0,
-513,56,915,0,
-469,46,900,0,
-344,46,960,0,
-345,-15,946,0,
-162,-12,971,0,
-51,-5,984,0,
-15,-15,998,0,
60,-7,991,0,
158,-40,988,0,
227,-33,970,0,
328,-47,966,0,
379,-48,932,0,
420,-50,917,0,
484,-59,898,0,
512,-60,881,0,
528,-65,878,0,
524,-63,871,0,
487,-13,906,0,
518,-83,876,0,
471,-62,894,0,
422,-54,910,0,
381,-62,934,0,
337,-46,941,0,
241,-38,985,0,
172,-64,970,0,
113,-42,983,0,
-25,-30,989,0,
-73,-6,986,0,
-159,-11,967,0,
-234,-13,970,0,
-340,29,957,0,
-392,37,934,0,
-461,44,920,0,
-493,49,914,0,
-508,48,905,0,
-517,57,896,0,
-507,49,906,0,
-509,47,901,0,
-468,49,918,0,
-454,46,934,0,
-375,44,953,0,
-324,31,972,0,
-320,38,969,0,
-200,20,997,0,
-107,31,1020,0,
-9,-2,1009,0,
77,-18,990,0,
134,6,1007,0,
191,-42,971,0,
291,-37,965,0,
333,-38,942,0,
418,-61,918,0,
446,-51,913,0,
456,-54,906,0,
480,-66,901,0,
468,-57,899,0,
507,-48,897,0,
445,-60,906,0,
382,-47,924,0,
370,-56,935,0,
326,-42,954,0,
268,-53,959,0,
195,-43,978,0,
190,-75,963,0,
-98,55,1047,0,
-42,-4,999,0,
-137,16,1000,0,
-182,11,976,0,
-350,54,1008,0,
-378,29,966,0,
-376,23,953,0,
-420,29,939,0,
-440,38,931,0,
-463,45,924,0,
-464,39,914,0,
-448,41,921,0,
-440,38,937,0,
-424,35,946,0,
-389,20,957,0,
-282,32,970,0,
-298,11,961,0,
-293,30,982,0,
-114,-4,1000,0,
-91,6,1002,0,
-33,-1,1027,0,
84,-17,999,0,
156,-14,1000,0,
245,-37,984,0,
305,-34,969,0,
381,-68,938,0,
349,-51,939,0,
396,-61,930,0,
422,-57,923,0,
434,-54,916,0,
419,-54,920,0,
481,-74,927,0,
478,-83,910,0,
381,-60,951,0,
288,-50,962,0,
270,-49,969,0,
219,-53,973,0,
103,-9,987,0,
